Date,H0A0,JNK
5/7/2015,1086.18,38.627176
5/8/2015,1088.77,38.873586
5/11/2015,1088.84,38.706029
5/12/2015,1085.4,38.696171
5/13/15,1087.28,38.637035
5/14/15,1087.79,38.844018
5/15/15,1089.17,38.883444
5/18/15,1088.91,38.804591
5/19/15,1088.26,38.725742
5/20/15,1087.62,38.725742
5/21/15,1088.93,38.765169
5/22/15,1089.03,38.81445
5/26/15,1089.8,38.75531
5/27/15,1090.31,38.853873
5/28/15,1090.37,38.81445
5/29/15,1090.76,38.853873
6/1/2015,1090.63,38.83902
6/2/2015,1089.63,38.799408
6/3/2015,1087.95,38.60135
6/4/2015,1085.99,38.512224
6/5/2015,1082.7,38.423098
6/8/2015,1081.99,38.383486
6/9/2015,1079.25,38.324071
6/10/2015,1079.77,38.324071
6/11/2015,1081.59,38.413197
6/12/2015,1080.61,38.314166
6/15/15,1078.28,38.116112
6/16/15,1077.1,38.274557
6/17/15,1078.52,38.254751
6/18/15,1079.62,38.353778
6/19/15,1081.27,38.324071
6/22/15,1082.77,38.472612
6/23/15,1082.13,38.46271
6/24/15,1081.53,38.393391
6/25/15,1080.6,38.333972
6/26/15,1078.6,38.205238
6/29/15,1073.85,37.93786
6/30/15,1074.32,38.056693
7/1/2015,1076.56,38.11541
7/2/2015,1077.06,38.21493
7/6/2015,1074.38,38.085555
7/7/2015,1072.42,38.045747
7/8/2015,1071,37.806906
7/9/2015,1071.93,37.906423
7/10/2015,1073.18,38.075602
7/13/15,1074.78,38.11541
7/14/15,1075.23,38.10546
7/15/15,1076.48,38.11541
7/16/15,1076.47,38.155218
7/17/15,1073.89,38.015893
7/20/15,1072.51,37.936277
7/21/15,1069.5,37.816856
7/22/15,1065.19,37.617819
7/23/15,1064.44,37.637723
7/24/15,1063.05,37.498399
7/27/15,1059.01,37.33917
7/28/15,1060.47,37.468545
7/29/15,1064.76,37.697436
7/30/15,1067.63,37.806906
7/31/15,1067.71,37.787002
8/3/2015,1066.7,37.669998
8/4/2015,1066.23,37.68
8/5/2015,1066,37.66
8/6/2015,1062.76,37.509998
8/7/2015,1059.15,37.360001
8/10/2015,1058.73,37.419998
8/11/2015,1054.53,37.259998
8/12/2015,1050.85,37.18
8/13/15,1053.1,37.150002
8/14/15,1052.84,37.18
8/17/15,1052.93,37.130001
8/18/15,1052.25,37.119999
8/19/15,1050.12,37.029999
8/20/15,1047.86,36.830002
8/21/15,1044.8,36.720001
8/24/15,1036.28,36.290001
8/25/15,1041.75,36.400002
8/26/15,1041,36.759998
8/27/15,1045.85,36.970001
8/28/15,1047.68,36.990002
8/31/15,1048.9,37.009998
